Excellent but needs work,,Advocate for Plant-Based Defaults at Work,Submit a formal proposal for plant-based default options in your workplace cafeteria/catering,2-4 hours,Medium,Formal proposal submitted,Achievement,,
Excellent but needs work,,Become a Big Brothers Big Sisters Mentor,"Complete application, training, match process and meet with mentee for 6+ months",6+ months,Hard,"Training complete, 6+ months of meetings with mentee",Social,,
Duplicate,Dupe of: #76 30-Day Gratitude Journal,Start a Gratitude Practice,Complete 30 consecutive days of gratitude journaling (3-5 items daily),30 days,Easy,30 consecutive days documented,Achievement,,
Excellent but needs work,,Walk 50000 Steps in a Weekend,Walk 50000 total steps across Saturday and Sunday,1 weekend,Medium,Screenshot of step tracker showing 50000+ steps in 48 hours,Physical,,
Excellent but needs work,,One-Week Art Style Sprint,Create one piece of art in a different medium each day for 7 days,7 days,Medium,7 pieces across 7 different mediums,Creative,,
Excellent but needs work,,Create a DIY Escape Room,Design and build a puzzle experience in your home for others to solve,Variable,Medium,"Minimum 3 connected puzzles, at least one person completes it, defined win state",Creative,,
Excellent but needs work,Just add specific rejection therapy challenges,Rejection Therapy Week,"Deliberately ask for something you expect to be rejected for, once per day for 7 days",7 days,Medium,7 rejection attempts across 7 days documented,Social,,
Excellent but needs work,,No-Spend Month,Buy nothing beyond true essentials for 30 days,30 days,Hard,"30 days with only groceries, medicine, bills, transport to work",Achievement,,
Excellent but needs work,Needs to be more specific.. Dupes: #280 No Phone or Internet for a Week; #302 No-Technology Day; #427 Screen-Free Weekend,One-Week Social Media Detox,Log out of all social media for 7 days,7 days,Medium,7 consecutive days with no social media access,Achievement,,
Duplicate,Does this already exist?. Dupe of: #396 Learn to Juggle,Learn to Juggle Three Balls,Juggle three objects continuously,Variable,Easy,Video of juggling 3 objects for 30+ seconds without dropping,Physical,,
Excellent but needs work,,See Sunrise and Sunset in One Day,Intentionally watch both the sunrise and sunset on the same day,1 day,Easy,Present and watching during both events on same calendar day,Achievement,,
Excellent but needs work,,Make a Personal Time Capsule,Create a sealed collection of current items and notes for your future self,Variable,Easy,"Container sealed with do not open until date (minimum 5 years), stored safely",Achievement,,
Excellent but needs work,Does this conflict with the guiness one?,Sock-Stacking Speed Record Attempt,Put as many socks on one foot as possible in 30 seconds,30 seconds,Easy,Video with visible timer and final count,Absurd,,
Hesitant,Too vague,Schedule Unproductive Joy,Block weekly time for activities with no purpose beyond enjoyment and protect it for 4 consecutive weeks,4 weeks,Medium,"Time blocked, 4 weeks completed",Achievement,,
Duplicate,Similar to the three friends from a year ago. Dupe of: #102 The Reconnection,Reconnect with a Lost Friend,Reach out to someone you've lost touch with and have a real conversation,2-4 hours,Easy,"Real conversation (call or in-person), second interaction completed",Social,,
Hesitant,Good but similar to others. Dupes: #60 Host a Gathering; #320 Host a Potluck for 10+ People,Host a Gathering of 10+ People,Plan and execute a social event with at least 10 friends,5-15 hours,Medium,Event happened + group photo,Social,,
Hesitant,Maybe. needs refinement. Dupes: #224 Start the Thing; #240 Make the Decision; #268 Take One Step Toward a Big Goal; #255 Begin the Legacy Project,Cross Off Your #1 Bucket List Item,Identify and complete your single biggest bucket list item,Variable,Hard,Item completed,Achievement,,
Duplicate,Needs to be more specific. Dupe of: #78 Face a Fear,Try Something That Terrifies You,"Take a class or try an activity that genuinely scares you (skydiving, improv, rock climbing)",2-20 hours,Medium,One full session completed,Achievement,,
Duplicate,Dupe of: #52 Write and Share Original Work; #265 Launch a Side Project Publicly,Create a Finished Creative Work,"Learn a creative skill and produce a completed shareable piece (painting, music, writing, woodworking)",20-80 hours,Hard,Finished piece exists and has been shared,Creative,,
Duplicate,Dont we already have this?. Dupe of: #101 Values Audit,Write and Share Your Personal Values,"Articulate your core values, beliefs, and how you want to live",3-6 hours,Easy,1000+ word document completed and shared with accountability partner,Achievement,,
Hesitant,Already exists for a week,Enforce Work Boundaries for 30 Days,Set and maintain a strict work end-time for one month,30 days,Medium,30-day compliance log,Achievement,,
Hesitant,,Set Up Recurring Donations,Establish automatic monthly donations to any effective charity,15 min,Easy,Recurring donation active,Achievement,,
Hesitant,,Skip One Long-Haul Flight This Year,Decline or cancel one round-trip flight over 4 hours that you would have otherwise taken,Variable,Medium,Document the trip not taken and your alternative,Achievement,,
Hesitant,,Reduce Meat Consumption by 50%,Track and reduce your meat consumption by 50% compared to personal baseline over 30 days,30 days,Medium,Track meals one week before starting then maintain 50% reduction for 30 days,Physical,,
Hesitant,,Reduce Food Waste by 50%,Track and reduce household food waste by 50% vs baseline over 30 days,30 days,Medium,Weigh waste for one week before then maintain reduction for 30 days,Achievement,,
Hesitant,,Join a Climate Advocacy Organization,Become a member and attend/participate in 2+ events or actions,Ongoing,Medium,Member + attended 2+ events,Achievement,,
Hesitant,,Support Wild Animal Welfare Research,Donate any amount to Wild Animal Initiative,15 min,Easy,Donation made,Achievement,,
Hesitant,,Register Voters,Volunteer 8+ hours for voter registration through a nonprofit during an election cycle,8+ hours,Medium,8+ hours completed,Achievement,,
Hesitant,,Serve on a Jury,"Respond to jury summons and serve fully (or be dismissed by court, not by own request)",Variable,Medium,Jury service completed,Achievement,,
Hesitant,,Provide Pro Bono Professional Services,Complete 50+ hours of pro bono work in your professional field within one year,50+ hours,Hard,50+ hours documented,Achievement,,
Hesitant,,Complete a 1000-Piece Puzzle Solo,Finish a 1000-piece jigsaw puzzle entirely by yourself,Variable,Medium,Photo of completed puzzle (done without help),Achievement,,
Hesitant,,Balance a Broom on Your Nose,Balance a broom handle vertically on your nose,Variable,Medium,Video of 60+ seconds of continuous balance,Physical,,
Hesitant,,Build a Five-Story Card House,Construct a house of cards at least 5 levels high,Variable,Medium,Photo of standing card house with 5+ tiers (no tape or adhesive),Achievement,,
Hesitant,lol what? wtf,One-Handed Toilet Paper Unroll,Completely unroll a full toilet paper roll using only one hand,Variable,Easy,Timed video showing full unroll with one hand,Absurd,,
Hesitant,Make specific ones based on this,Anonymous Good Deed,Do something kind without the recipient knowing it was you,Variable,Easy,Deed done and remained anonymous,Social,,
Hesitant,Maybe also people could find one thing they spend money on that doesnt support that minimum that they could cut out or switch ti be investments,Define Enough,Calculate exactly how much money you need for the life you actually want,2 hours,Easy,"Number calculated with breakdown, compared to current trajectory",Achievement,,
Hesitant,Too vague. List specific skills,The Skill You've Been Postponing,"Learn one skill you've been meaning to develop for years (instrument, language, craft). Do something to show your new skill. ",3-6 months,Hard,"Defined basic competency, reached that level",Achievement,,
Duplicate,Dupe of: #203 Cross Off Your #1 Bucket List Item,Start the Thing,Start the project you've been planning for years and set a deadline for first draft/prototype,Varies,Hard,"Deadline set, first draft/prototype completed by deadline",Achievement,,
Hesitant,Will include. needs some fine tuning,The Forgiveness Letter,Write a letter to someone you're holding resentment toward (you don't have to send it),1 hour,Medium,"Letter written, consciously chose to release resentment",Achievement,,
Hesitant,Will include. Add examples. Dupes: #227 Complete a Health Screening,The Postponed Screening,Get the health appointment/test/screening you've been putting off,Varies,Medium,"Appointment scheduled, appointment completed",Physical,,
Duplicate,Will include. Make better. Dupe of: #226 The Postponed Screening,Complete a Health Screening,Get a comprehensive physical exam with blood work,2-4 hours,Easy,Receive results documentation,Physical,,
Hesitant,Check for dupes,Solo Retreat,"Spend at least 48 hours without seeing another human, minimal tech",2 day,Medium+,Day completed.,Achievement,,
Hesitant,,Give a Child $100,Give $100 to a child (with parents' permission),15 min,Easy,$100 given with photo or documentation,Social,,
Duplicate,Is there a way to make this actually work in real life? Maybe like asking friends for pitches and then saying yes to those. Dupe of: #64 Day of Yes,Say Yes to Everything for a Day,Agree to every request/invitation/opportunity for one full day (one veto pass allowed),1 day,Medium,Day completed documenting what you said yes to,Achievement,,
Hesitant,"Maybe lets remove the part about other expectations, and also have the people take one step toward one of the goals or dreams",The Unlived Life Inventory,"List dreams and paths you abandoned due to others' expectations, then circle three that still call to you",1 hour,Easy,"List has 10+ items, three are circled",Achievement,,
Hesitant,"Lets not assume they are lying. lets frame this as a conversation that frees you from some tension in the relationship. expressing a boundary, revealing something, asking for clarity". Dupes: #239 The Relationship Conversation,The Avoided Conversation,Tell one person a truth about yourself you've been hiding - real aspirations or a boundary,30 min,Medium,"Conversation happened, documented what you said",Social,,
Hesitant,Actually consult them for a large life decision. ,Personal Board of Directors,Identify 3-5 people who support your authentic self and ask if you can consult them before major decisions,1-2 hours,Medium,3+ people confirmed yes,Social,,
Duplicate,Dupe of: #113 The Old Apology,The Repair,Make the first move to repair one damaged relationship even if you think they should apologize first,Varies,Hard,"Reached out with repair intent, documented what you said",Social,,
Hesitant,,The Boundary Week,Leave work on time every day for one full work week,1 week,Medium,"On time defined in writing, 5/5 days met target",Achievement,,
Hesitant,,Choose Presence,Attend one event important to someone you love that you would normally skip for work,Varies,Medium,"Event attended, it genuinely conflicted with work",Social,,
Hesitant,,True Hourly Wage,"Calculate real hourly wage including commute, work brought home, stress recovery, and expenses",1 hour,Easy,"Calculation completed, written reflection on trade-off",Achievement,,
Hesitant,,Teach Something,Teach something you know to someone else,Varies,Easy,"Teaching session completed, learner could demonstrate what you taught",Social,,
Duplicate,Seems similar to the hard conversation one above.. Dupe of: #232 The Avoided Conversation,The Relationship Conversation,Have the difficult conversation about your relationship that you've been avoiding,1-2 hours,Hard,"Issue identified in writing beforehand, conversation happened",Social,,
Duplicate,Seems similar to the take one step toward a big goal one below. Dupe of: #203 Cross Off Your #1 Bucket List Item,Make the Decision,"Make a decision you've been postponing (the move, career change, ending, or beginning)",Varies,Hard,"Decision made, first action taken toward implementing it",Achievement,,
Duplicate,"Generic, needs more definition. ". Dupe of: #78 Face a Fear,Do Something That Scares You,"Do something that scares you that isn't actually dangerous (public speaking, asking someone out, traveling solo)",Varies,Medium,"Scary thing identified beforehand, scary thing done",Achievement,,
Duplicate,How much? lets set a minumum time amount spent on the work. Dupe of: #52 Write and Share Original Work; #265 Launch a Side Project Publicly,Share Your Creative Work,"Share creative work with an audience (publish writing, show art, perform music, post online)",Varies,Medium,"Work shared publicly, at least 1 person outside inner circle saw it",Creative,,
Hesitant,,Express Suppressed Emotion,"Express anger or disappointment you've been suppressing (to therapist, trusted friend, or person directly)",Varies,Medium,"Emotion identified, expressed to someone",Social,,
Hesitant,Dupes: #178 Write Your Career Story; #269 Create Your Life Timeline,Write Your Eulogy,Describe the person you want to be remembered as and note gaps between that vision and your current life,1-2 hours,Medium,"Eulogy written, gaps listed",Achievement,,
Hesitant,Seems similar to the one about writing a letter to someone as if they were dying ,The Death Conversation,"Have a conversation about death with someone you love (wishes, fears, what you'd want each other to know)",1-2 hours,Hard,"Conversation happened, both people shared something meaningful",Social,,
Hesitant,,Three Denied Things,"Identify three things you've denied yourself for no good reason, then do/get/allow one of them",30 min+,Easy,"3 things listed, 1 done/obtained/allowed",Achievement,,
Hesitant,Make one that is 24-48 hours no eating,,,,,,,,
Hesitant,We should specify how much it affects your life. People should be eliminating things that affect them on a daily basis or cause them stress more than a few times per week.,Eliminate Chronic Unhappiness,"Remove or significantly reduce one source of chronic unhappiness (relationship, habit, commitment, environment)",Varies,Hard,"Source identified, concrete action taken to eliminate/reduce it",Achievement,,
Hesitant,,Say No,Decline an invitation or obligation that doesn't align with what matters to you,As it arises,Easy,Said no to something you would have previously said yes to,Achievement,,
Hesitant,,Gratitude Letter to Your Body,Write a letter thanking your body and list everything it allows you to do that you take for granted,30 min,Easy,Letter written with 10+ things listed,Achievement,,
Hesitant,Vague,One Sustainable Health Habit,Establish one health habit you can maintain and track for 30 days,30+ days,Medium,"Habit defined, 30 days tracked",Physical,,
Hesitant,Vague,Try the Curious Thing,"Try one thing you've always been curious about (activity, food, place, experience)",Varies,Easy,"Thing identified, thing tried",Achievement,,
Hesitant,Vague,24 Hours Unplanned,Spend 24 hours somewhere unfamiliar without a plan,1 day,Medium,"Location was unfamiliar, no itinerary made, 24 hours completed",Achievement,,
Hesitant,This should be an action,Your Unique Contribution,Identify your unique contribution by answering: What would be lost if I never shared my unique perspective or skill?,2-3 hours,Medium,Written answer (1+ paragraph),Achievement,,
Duplicate,Seems similar to the one about a big goal. Vague. Dupe of: #203 Cross Off Your #1 Bucket List Item,Begin the Legacy Project,"Start the thing you want to leave behind (memoir, oral history, mentorship, creation)",Varies,Hard,"Project defined, first concrete milestone completed",Achievement,,
Hesitant,"I like it, but is 20 accessible to everyone?",Double Your Push-up Max,"Train until you can do 2x your current max consecutive push-ups, or reach 20 (whichever is greater)",4-8 weeks,Medium,Video of final set with good form,Physical,,
Hesitant,Flossing and the dentist one should be two separate challenges,Complete All Recommended Dental Work,Get a dental exam and complete all recommended treatments or establish 30-day flossing habit,2-6 months,Medium,"Exam done, treatment complete or 30-day floss streak",Physical,,
Hesitant,Dupes: #424 Go to Therapy,Complete 6 Therapy Sessions,"Attend six sessions with a mental health professional, or complete structured self-guided program",6-12 weeks,Medium,Documentation of 6 completed sessions,Achievement,,
Duplicate,break into specific endurance events as their own challenges.. Dupe of: #136 Run a Marathon; #414 Complete a Triathlon,Complete an Endurance Goal,"Train for and finish a significant endurance challenge (half-marathon, 50-mile bike ride, 5K from zero)",8-16 weeks,Hard,Evidence of completing the event/goal,Physical,,
Hesitant,This seems highly variable per person,Eliminate Highest-Interest Debt,Pay off your highest-interest debt completely,Variable,Hard,$0 balance confirmation,Achievement,,
Hesitant,Why?,Calculate Your True Net Worth,"Document all assets, debts, income, and expenses",2-4 hours,Easy,"Written document with assets, liabilities, net worth, savings rate",Achievement,,
Hesitant,Maybe too vague. Maybe we separate these out into individual challenges?,Hit a Personal Savings Milestone,"Reach a meaningful savings/investment target (save 20% for 6 months, increase savings rate, reach net worth milestone)",6-12 months,Medium,Documentation of milestone reached,Achievement,,
Hesitant,Seems kinda extra no? maybe thats the point? Yeah thats the point,Read 3 Personal Finance Books,Complete three foundational money books,15-25 hours,Easy,All three finished,Achievement,,
Duplicate,Very similar to another one about applying for the thing. Dupe of: #112 Apply Anyway,Apply for Your Reach Job,Submit a complete application for a position you feel underqualified for,4-10 hours,Medium,Application submitted,Achievement,,
Hesitant,Very similar to the one about publishing work publically. Dupes: #205 Create a Finished Creative Work; #242 Share Your Creative Work,Launch a Side Project Publicly,"Create something and release it to the world (product, service, art, content, tool, newsletter)",20-100 hours,Hard,It's live and others can access it,Creative,,
Hesitant,,Speak Up in Every Meeting for 30 Days,Contribute at least one substantive comment or question in every work meeting,30 days,Medium,30-day tracking log showing participation,Achievement,,
Duplicate,Seems similar to the credentials one and another certificate one. Dupe of: #109 Enroll in One Course,Complete an Academic Course,Finish a full course with structured curriculum,40-80 hours,Medium,Course finished with all modules/assignments done,Achievement,,
Duplicate,Vague but high potential. There are ones claude made above that are more specific. Dupe of: #203 Cross Off Your #1 Bucket List Item,Take One Step Toward a Big Goal,Identify a major life goal and complete one concrete milestone toward it,Variable,Medium,"Milestone done (first chapter written, money saved, application submitted)",Achievement,,
Duplicate,Dupe of: #244 Write Your Eulogy,Create Your Life Timeline,Document the major chapters and lessons of your life so far,Variable,Easy,Written or visual record to look back on,Achievement,,
Hesitant,Include links to specific competitions ,Place Top 3 in a Local Competition,Enter and place in top 3 of any local competition (sport/trivia/talent/hobby),Variable,Hard,Top 3 placement documented,Achievement,,
Hesitant,"Too vague, but its good tho idk",Set a Personal Record,Set a new personal best at whatever your favorite measurable activity is,Variable,Medium,PR documented with previous best for comparison,Physical,,
Hesitant,,Walk to Work for a Month,Walk to work instead of driving/transit for an entire month,1 month,Medium,Month completed (weather exceptions reasonable),Physical,,
Hesitant,,Pull an All-Nighter,Stay awake for 24+ consecutive hours intentionally,24+ hours,Medium,Stayed awake from one morning through the next morning,Physical,,
Hesitant,How do we make this more measurable?,Change Your Own Mind,Genuinely change your own mind about something through research or conversation,Variable,Medium,Write a page explaining what you believed before and why you changed,Achievement,,
Hesitant,Maybe this needs some caveats? for important phone calls and stuff?,Speak Only in Different Language for Two Days,Communicate only in a language other than your native tongue for 48 hours,48 hours,Hard,48 hours completed (writing counts),Achievement,,
Hesitant,Choose specific holidays,Celebrate a New Holiday,Fully celebrate a holiday you don't normally observe (learn traditions and participate),1 day,Easy,Holiday celebrated with appropriate traditions,Achievement,,
Hesitant,,No Nut November,Complete the full month of November without orgasming,1 month,Hard,Month completed,Achievement,,
Hesitant,,Start and Maintain Skincare Routine,Establish a daily skincare routine and stick with it for 3 months,3 months,Medium,3 months documented,Achievement,,
Hesitant,,Buy Something Nice You'll Use Daily,Purchase something for yourself you'd use every day that you wouldn't have otherwise bought,Variable,Easy,Item purchased and being used daily,Achievement,,
Duplicate,Could be more specific.. Dupe of: #125 Digital Detox Day; #195 One-Week Social Media Detox,No Phone or Internet for a Week,Go one full week without using phone or internet,1 week,Hard,Week completed,Achievement,,
No,Already have one about regular calls,Weekly Family Calls for 3 Months,Call one family member every week for 12 consecutive weeks,3-6 hours total,Medium,12/12 calls logged,Social,,
No,Already exists ,Write an Appreciation Letter,Write a detailed letter to a parent or mentor about why they matter,2-4 hours,Easy,"500+ words written, delivered",Social,,
No,Vague,Have the Difficult Conversation,Identify and have a conversation you've been avoiding,1-3 hours,Medium,Conversation happened + written reflection,Social,,
No,Already exists for parents,Interview an Elderly Relative,"Conduct a recorded interview about their life story, wisdom, and family history",2-5 hours,Easy,Recording preserved (audio or video),Social,,
No,,Take a Trip with a Family Member,"Organize a trip (minimum overnight) with just one parent or sibling (camping, road trip, staycation counts)",8-48 hours,Medium,Trip completed + photo together,Social,,
No,solo 48 hours already exists,Solo Travel for One Week,Take a solo trip to somewhere new staying at least 7 days,7+ days,Hard,7+ days completed + photo documentation,Achievement,,
No,Vague,Attend a Major Event Alone,"Go to a concert, game, festival, or conference by yourself",3-8 hours,Easy,Full event attended solo,Achievement,,
No,,Complete a Digital Detox Trip,Take a trip with no phone or internet for minimum 3 days,3+ days,Medium,Trip completed + journal documentation,Achievement,,
No,,Do Something Out of Character,Identify something you've secretly wanted to do but doesn't fit your image then do it,Variable,Medium,Activity completed,Achievement,,
No,,Document One Year of Your Life,"Commit to a year-long documentation project (daily journaling, weekly photos, monthly videos)",15-60 min daily,Hard,12 months of documentation preserved,Creative,,
No,,Make Amends for a Past Regret,"Identify something you genuinely regret and make direct amends (apologize, repair damage, restitution)",2-10 hours,Medium,Amends made + documented,Social,,
No,Alrrady exists,Spend a Full Day Doing Exactly What You Want,"8+ waking hours with no obligations, no shoulds, no productivity guilt",8-16 hours,Easy,Day completed + documented how you spent it,Achievement,,
No,,Fund an Overlooked Intervention,Donate any amount to the Lead Exposure Elimination Project,15 min,Easy,Donation made,Achievement,,
No,,Calculate Your Global Wealth Percentile,Complete the calculator at howrichami.givingwhatwecan.org,5 min,Easy,Screenshot of result,Achievement,,
No,,Make Monthly Climate Calls,Make phone calls to elected officials about climate legislation for 3 consecutive months,3 months,Medium,Calls made for 3 consecutive months,Achievement,,
No,,Switch to a Climate-Conscious Bank,Move your primary checking account to a bank that doesn't finance fossil fuel expansion,Variable,Medium,Account moved,Achievement,,
No,,Eliminate Chicken and Fish for 30 Days,Complete 30 consecutive days without eating chicken or fish,30 days,Medium,30 days completed,Physical,,
No,,Donate to ACE-Recommended Charities,Make any donation to Animal Charity Evaluators' Recommended Charity Fund,15 min,Easy,Donation made,Achievement,,
No,,Support Corporate Welfare Campaigns,Donate any amount to The Humane League or similar corporate campaign organization,15 min,Easy,Donation made,Achievement,,
No,,Replace Your Top 3 Animal Products,Identify your 3 most-consumed animal products and replace them with plant-based alternatives for 60 consecutive days,60 days,Medium,Document replacements and track for 60 days,Physical,,
No,Exists,24-Hour Silence,Do not speak for a full 24 hours,24 hours,Medium,24 consecutive hours with zero spoken words,Achievement,,
Duplicate,Dupe of: #125 Digital Detox Day; #195 One-Week Social Media Detox,No-Technology Day,Spend 24 hours without any digital technology,24 hours,Medium,"24 hours with no phone, computer, TV, tablet, or gaming devices",Achievement,,
No,Already exists,Master a Magic Trick,Learn one magic trick well enough to fool people,Variable,Easy,Perform trick for at least 3 different people without revealing how,Achievement,,
No,Vague,Adrenaline First,"Do something that genuinely scares you physically (zip-line, cliff jump, roller coaster, cold plunge)",Variable,Medium,Done the activity once (scale to personal fear threshold),Physical,,
No,Too vague,Achieve a Fitness Goal,Set a specific physical goal based on current baseline and train until you hit it,Variable,Medium,Achieved measurable target you set,Physical,,
No,Too vague and also exists,Yes Day,Spend one day saying yes to every safe opportunity that comes your way,1 day,Medium,Day over and followed through,Achievement,,
No,,Ask for a Raise,Formally ask your employer for a raise,30 min,Medium,The ask happened (outcome doesn't matter),Achievement,,
No,,Appear on Cable TV,Get yourself on a cable television broadcast,Variable,Hard,Recording of your TV appearance,Achievement,,
No,,The Friendship Trip,Take a trip with a friend (not family) - day trip counts,1 day+,Medium,"Trip completed, photo together from the trip",Social,,
No,,Deliberate Silliness,Do something intentionally silly or ridiculous and laugh properly,Varies,Easy,"Silly thing done, you laughed for real",Absurd,,
No,,The Postponed Trip,Take the trip you've been putting off,Varies,Medium,Trip taken,Achievement,,
No,,Reverse Bucket List,Document 20+ meaningful experiences you've already had,1 hour,Easy,List of 20+ experiences written,Achievement,,
No,,Change Someone's Mind,Have a conversation where you genuinely change someone's opinion on something meaningful,Variable,Hard,Document what they believed before and after with their confirmation,Social,,
Excellent,,Cook a Full Meal Together Blindfolded,Partner up and cook a complete meal where one person is blindfolded and the other can only give verbal instructions,,,,,,
Excellent,,Learn a Partner Dance Routine,"Learn and perform a choreographed partner dance (salsa, bachata, swing, etc.) of at least 1 minute",,,,,,
Excellent,,Complete a Tandem Bike Ride of 20+ Miles,Ride a tandem bicycle with a partner for at least 20 miles in one outing,,,,,,
Excellent,,Three-Legged 5K,Complete a 5K race or route while three-legged-tied to a partner,,,,,,
Duplicate,Dupe of: #384 Build a Piece of Furniture,Build a Piece of Furniture Together,Build a functional piece of furniture from raw materials (not IKEA) with a partner,,,,,,
Excellent but needs work,Dupes: #378 Cold Shower for 7 Days,Do a Polar Plunge with a Friend,Jump into a body of water below 50°F together,,,,,,
Duplicate,Already exists?. Dupe of: #202 Host a Gathering of 10+ People,Host a Potluck for 10+ People,Organize and host a potluck dinner where at least 10 people attend and bring food,,,,,,
Hesitant,,Teach a Friend a Skill in One Day,Spend a full day teaching someone a skill you have until they can demonstrate basic competency,,,,,,
Hesitant,,Complete a Ropes Course Together,Finish a high ropes or aerial adventure course with a partner,,,,,,
Excellent but needs work,More specific,Run a Relay Race,Organize and complete a relay race (any distance) with a team of 3+ people,,,,,,
Excellent but needs work,,Paint Each Other's Portraits,"Sit for and paint/draw a portrait of each other, then swap and display them",,,,,,
Excellent but needs work,,Survive an Escape Room,Complete an escape room with a group without using any hints,,,,,,
Hesitant,,Play 18 Holes of Disc Golf with a Group,Complete a full 18-hole disc golf course with 3+ people,,,,,,
Hesitant,,Do a Group Camping Trip with No Electronics,Camp for at least one night with 3+ people where nobody uses phones or electronics from arrival to departure,,,,,,
Hesitant,,Complete a 1000-Piece Puzzle in One Sitting,Finish a 1000-piece jigsaw puzzle with a partner in a single session without sleeping,,,,,,
Excellent,,Volunteer Together for 8 Hours,Complete a full day of volunteer work (8+ hours) with a friend at the same organization,,,,,,
No,,Attend a Silent Retreat with a Friend,Attend a silent retreat or do a self-imposed silent day together (no speaking to each other for 12+ hours while in the same space),,,,,,
Excellent but needs work,Maybe regularly?,Organize a Pickup Sports Game with 10+ People,"Recruit and organize a full pickup game (basketball, soccer, volleyball, etc.) with at least 10 participants",,,,,,
Excellent but needs work,"Maybe one that is random turns but less long, and one that is choose a direction and drive that way for a while ",Take a Road Trip with No Pre-Planned Route,"Drive for at least 6 hours with a partner, flipping a coin or rolling dice at every intersection to decide direction",,,,,,
Excellent but needs work,Consider merging with other similar ones,Learn and Perform a Song as a Duo,"Learn a song together (singing, instruments, or both) and perform it for at least 5 people",,,,,,
Excellent but needs work,,Complete a Mud Run or Obstacle Race as a Team,"Finish a mud run or obstacle course race (Tough Mudder, Spartan, etc.) with at least one partner",,,,,,
Hesitant,,Go Stargazing and Identify 15 Celestial Objects,"Spend a night stargazing with a friend and correctly identify 15 stars, constellations, or planets together",,,,,,
Hesitant,,Host a Game Night Tournament,Organize a game night with 6+ people featuring a bracket-style tournament with a declared winner,,,,,,
Excellent but needs work,,Do a Partner Workout Challenge for 7 Days,Complete a specific partner workout every day for 7 consecutive days with the same person,,,,,,
Excellent,,Forage a Meal Together,Find and correctly identify wild edible plants/mushrooms with a knowledgeable partner and eat a dish made from them,,,,,,
Excellent,,Canoe or Kayak 10+ Miles Together,Complete a 10+ mile paddle with a partner in a single outing,,,,,,
Excellent,,Build and Launch a Model Rocket Together,Assemble and successfully launch a model rocket with a partner,,,,,,
Excellent but needs work,,Take a Dance Class Together Every Week for 4 Weeks,Attend a weekly dance class with the same partner for 4 consecutive weeks,,,,,,
Duplicate,Dupe of: #71 Community Cleanup,Organize a Neighborhood Cleanup with 5+ People,"Recruit at least 5 people and clean up a public area, filling at least 10 bags of trash",,,,,,
Excellent but needs work,Clear rules about who qualifies. Maybe there has to be someone participating who has never backpacked before,Complete a Multi-Day Backpacking Trip,Hike and camp for at least 2 nights in the backcountry with a partner or group,,,,,,
Excellent but needs work,"Clarify wording, but good",Best Thrift Store Outfit for Under $10,Buy a complete outfit from a thrift store for under $10 and have the group vote on the best one,,,,,,
Excellent but needs work,What is creative?,Most Creative $5 Gift,Buy or make the most creative gift for $5 or less; group votes on the winner,,,,,,
Excellent but needs work,,Tallest Freestanding Spaghetti Tower,Build the tallest freestanding tower using only dry spaghetti and marshmallows in 20 minutes,,,,,,
Excellent but needs work,,Best Dish from a Mystery Ingredient,Everyone receives the same surprise ingredient and has 90 minutes to cook the best dish; group votes,,,,,,
Excellent but needs work,,Most Money Made in a Day from Nothing,"Starting with $0 and no selling personal possessions, earn as much money as possible in a single day through legal means",,,,,,
No,,Fastest Mile Run,Everyone runs a timed mile on the same day; fastest time wins,,,,,,
No,,Most Push-Ups in 2 Minutes,"Timed, filmed, with full range of motion; highest count wins",,,,,,
No,Already public standup exists,Best Original Stand-Up Set,Write and perform a 3-minute stand-up comedy set for the group; audience votes on the funniest,,,,,,
No,,Longest Plank Hold,"Timed, filmed plank hold with proper form; longest time wins",,,,,,
Excellent but needs work,,Most Creative Use of a Cardboard Box,"Given one large cardboard box, create the most impressive thing in 3 hours; group votes",,,,,,
Excellent but needs work,,Best Latte Art,Everyone attempts latte art (or any poured beverage art); group votes on the best,,,,,,
Excellent but needs work,"How does this relate to the  hitchhiking challenge?, by the way, hitchhiking should be a partner challenge. Maybe this would be no hitchhiking allowed",Cheapest Cross-City Trip,Travel from one defined point in your city to another spending as little money as possible; lowest cost wins,,,,,,
Excellent but needs work,,Best Photo Taken on the Same Day,Everyone takes their single best photo on the same designated day; group votes,,,,,,
Hesitant,,Most Steps in 24 Hours,Wear a step tracker for 24 hours; highest verified step count wins,,,,,,
Excellent but needs work,,Fastest Time to Eat a Lemon,"Eat an entire lemon (flesh only, no rind required) as fast as possible; fastest time wins",,,,,,
Excellent but needs work,,Longest Continuous Hula Hoop,Timed hula hooping; longest unbroken session wins,,,,,,
Excellent,Maybe on the trip. Dupes: #455 Best Sandcastle,Best Sandcastle,Build sandcastles at the same beach on the same day; group votes on the best,,,,,,
No,,Most Weight Lost in a Month (Percentage-Based),Highest percentage of body weight lost in 30 days wins (keeps it fair across sizes),,,,,,
Excellent but needs work,,Fastest Rubik's Cube Solve (Competitive),"Everyone learns to solve a Rubik's Cube; fastest timed solve wins. Competition will happen on the trip.",,,,,,
Excellent but needs work,,Best Freestyle Rap in 60 Seconds,"Given a random topic, deliver a 60-second freestyle; group votes",,,,,,
Excellent but needs work,"Will probably add. Either total time, talking time, or most number of different people you can get tranferred to. ",Longest Phone Call with a Customer Service Line,Stay on the phone with any customer service line as long as possible without being hung up on; longest call wins,,,,,,
