id , created_at                   , title                                               , description                                                                                                                                                                                                                                     , category                            , estimated_time, completion_criteria                                                                                                             , submitted_by   , points, benchmark_elo, is_benchmark, benchmark_points
   ,                              , Run 1000 Miles in a Year                            , Run 1000 miles total in one year                                                                                                                                                                                                                , Physical                            , Full Year     , 1000 miles logged over the year                                                                                                 , abbs2882       ,       ,              ,             , 
   ,                              , Bike 3000 Miles in a Year                           , Bike 3000 miles total in one year                                                                                                                                                                                                               , Physical                            , Full Year     , 3000 miles of cycling logged                                                                                                    , abbs2882       ,       ,              ,             , 
   ,                              , Read 52 Books in a Year                             , Read 52 books by the end of the challenge (one book per week) audiobooks don't count                                                                                                                                                            , Growth/Self & Achievement           , Full Year     , 52 books read documented                                                                                                        , carsonr.       ,       ,              ,             , 
557, 2026-02-03 23:47:26.555825+00, Values Audit                                        , Write your top 10 values and make one small ongoing life change to better align with your values. https://qualitycharters.org/wp-content/uploads/2016/10/Hiring-For-Fit_Values-List.pdf                                                         , Growth/Self                         , Hours         , 10 values written - change executed                                                                                             ,                ,     13,              ,            0, 
558, 2026-02-03 23:47:26.555825+00, The Reconnection                                    , Message three friends you haven't contacted in 1+ year with personalized messages referencing specific memories                                                                                                                                 , Social                              , Hours         , 3 personalized messages sent (not generic)                                                                                      ,                ,     10,              ,            0, 
561, 2026-02-03 23:47:26.555825+00, The Collision Dinner                                , Host a meal introducing friends from different parts of your life who don't know each other                                                                                                                                                     , Social                              , Hours         , 3+ guests from 2+ different worlds - meal completed                                                                             ,                ,     15,              ,            0, 
562, 2026-02-03 23:47:26.555825+00, Specific Appreciation                               , Tell 5 people what you specifically appreciate about them including a specific moment and how it affected you                                                                                                                                   , Social & Growth/Self                , Hours         , 5 people told - each included specific moment + impact                                                                          ,                ,     14,              ,            0, 
563, 2026-02-03 23:47:26.555825+00, Family Recording                                    , Record an interview with a parent or elder about their life story                                                                                                                                                                               , Social                              , Hours         , 10+ questions prepared - 20+ min recording completed - saved in 2 locations                                                     ,                ,     18,              ,            0, 
569, 2026-02-03 23:47:26.555825+00, The Old Apology                                     , Apologize for something you did years ago with a genuine apology that asks nothing in return                                                                                                                                                    , Growth/Self                         , Hours         , Apology delivered - asked for nothing in return                                                                                 ,                ,     22,              ,            0, 
570, 2026-02-03 23:47:26.555825+00, Say I Love You                                      , Tell a family member I love you if you rarely do                                                                                                                                                                                                , Social & Growth/Self                , Hours         , Said it explicitly                                                                                                              ,                ,     16,              ,            0, 
575, 2026-02-03 23:47:26.555825+00, Automate Retirement Savings                         , Open a retirement account and set up automatic contributions                                                                                                                                                                                    , Achievement & Growth/Self           , Hours         , Account open + automatic transfer active                                                                                        ,                ,      8,              ,            0, 
577, 2026-02-03 23:47:26.555825+00, Complete a Salary Negotiation                       , Negotiate for more compensation in current role or new offer                                                                                                                                                                                    , Achievement & Social                , Hours         , The negotiation conversation happened                                                                                           ,                ,     17,              ,            0, 
578, 2026-02-03 23:47:26.555825+00, The Money Talk with Parents                         , Direct conversation with parents about their financial situation and estate plans and wishes                                                                                                                                                    , Social                              , Hours         , Conversation happened + can answer basic questions about their situation                                                        ,                ,     21,              ,            0, 
584, 2026-02-03 23:47:26.555825+00, Meet a Family Member You've Never Spoken To         , Reach out to and have a meaningful conversation with a family member you've never actually talked to before                                                                                                                                     , Social                              , Hours         , Contact made - real conversation happened                                                                                       ,                ,     15,              ,            0, 
588, 2026-02-03 23:47:26.555825+00, Meet Someone with Fake Identity                     , Meet a stranger and maintain a completely fake identity and backstory for at least 10 minutes (bonus for accent - longer duration)                                                                                                              , Absurd                              , Hours         , Conversation lasted 10+ min - they believed your fake identity                                                                  ,                ,     15,              ,            0, 
589, 2026-02-03 23:47:26.555825+00, Get Autograph from Famous Person                    , Obtain an autograph from someone famous enough to have a Wikipedia page                                                                                                                                                                         , Social                              , Hours         , Autograph obtained from person with Wikipedia page                                                                              ,                ,      9,              ,            0, 
591, 2026-02-03 23:47:26.555825+00, Get Best Free Item from Classifieds                 , Find and claim the best free item you can from Craigslist/Facebook Marketplace/local classifieds                                                                                                                                                , Absurd                              , Hours         , Free item obtained and photographed. Best item chosen by group vote.                                                            ,                ,      8,              ,            0, 
598, 2026-02-03 23:47:26.555825+00, Bake Bread from Scratch                             , Make a loaf of bread completely from scratch (no bread machine)                                                                                                                                                                                 , Creative                            , Hours         , Edible loaf produced with photo                                                                                                 ,                ,      4,              ,            0, 
602, 2026-02-03 23:47:26.555825+00, Make Wholesome Graffiti                             , Create positive/uplifting street art or chalk art in a public space                                                                                                                                                                             , Creative                            , Hours         , Photo of your wholesome public art                                                                                              ,                ,     13,              ,            0, 
603, 2026-02-03 23:47:26.555825+00, Write a Poem                                        , Write an original poem of at least 12 lines                                                                                                                                                                                                     , Creative                            , Hours         , Poem written and shared with at least one person                                                                                ,                ,      7,              ,            0, 
604, 2026-02-03 23:47:26.555825+00, Write a Joke                                        , Write an original joke and tell it to at least 5 people                                                                                                                                                                                         , Creative & Social                   , Hours         , Joke written and delivered to 5+ people. Someone has to laugh.                                                                  ,                ,      7,              ,            0, 
606, 2026-02-03 23:47:26.555825+00, Take a Dance Class                                  , Attend and complete a dance class in any style                                                                                                                                                                                                  , Social & Physical                   , Hours         , Class completed                                                                                                                 ,                ,      7,              ,            0, 
607, 2026-02-03 23:47:26.555825+00, Have Conversation with Oldest Living Relative       , Have a meaningful conversation with your oldest living relative about their life                                                                                                                                                                , Social & Growth/Self                , Hours         , Conversation happened and you learned something new about them                                                                  ,                ,     17,              ,            0, 
608, 2026-02-03 23:47:26.555825+00, Take Your Boss to Lunch                             , Invite your boss to lunch and pay for it                                                                                                                                                                                                        , Social & Achievement                , Hours         , Lunch happened and you paid                                                                                                     ,                ,     10,              ,            0, 
609, 2026-02-03 23:47:26.555825+00, Ask A Stranger for $100                             , Ask a stranger if you can have $100                                                                                                                                                                                                             , Absurd & Social                     , Hours         , The ask happened (outcome doesn't matter)                                                                                       ,                ,       ,              ,            0, 
610, 2026-02-03 23:47:26.555825+00, Ask Someone for Clothing Item They're Wearing       , Notice something someone is wearing that you like and ask them to give it to you                                                                                                                                                                , Social & Absurd                     , Hours         , The ask happened (getting it is bonus)                                                                                          ,                ,     15,              ,            0, 
612, 2026-02-03 23:47:26.555825+00, Go to a Protest or Rally                            , Attend a protest or rally for a political cause you care about                                                                                                                                                                                  , Growth/Self                         , Hours         , Attended and participated                                                                                                       ,                ,     11,              ,            0, 
614, 2026-02-03 23:47:26.555825+00, Wear Costume in Public on Non-Halloween Day         , Wear a full costume in public on a regular day (not Halloween or costume event)                                                                                                                                                                 , Absurd                              , Hours         , Wore costume for significant public outing                                                                                      ,                ,     14,              ,            0, 
615, 2026-02-03 23:47:26.555825+00, Collect Hair from 10 People                         , Collect a piece of hair from 10 different people (with their knowledge)                                                                                                                                                                         , Absurd                              , Hours         , 10 hair samples collected with consent                                                                                          ,                ,     15,              ,            0, 
616, 2026-02-03 23:47:26.555825+00, Buy Food from One Restaurant Eat in Another         , Purchase food from one restaurant and eat it inside a different restaurant                                                                                                                                                                      , Absurd & Social                     , Hours         , Completed without getting kicked out                                                                                            ,                ,     12,              ,            0, 
618, 2026-02-03 23:47:26.555825+00, Get Photo from Highest and Lowest Points in City    , Take photos at both the highest and lowest elevation points in your city - including buildings and basements                                                                                                                                    , Absurd                              , Hours         , Both photos taken with location proof                                                                                           ,                ,     12,              ,            0, 
619, 2026-02-03 23:47:26.555825+00, Sneak Into an Event                                 , Get into an event you weren't invited to or don't have a ticket for                                                                                                                                                                             , Social & Absurd                     , Hours         , Successfully attended event you shouldn't have been at                                                                          ,                ,     15,              ,            0, 
620, 2026-02-03 23:47:26.555825+00, Commit a Very Small Crime                           , Break an outdated or obscure law that's technically illegal but harmless                                                                                                                                                                        , Absurd                              , Hours         , Document which weird law you broke                                                                                              ,                ,      8,              ,            0, 
622, 2026-02-03 23:47:26.555825+00, Get a Wildly Different Hairstyle                    , Get a dramatically different haircut or style than you normally have                                                                                                                                                                            , Physical & Creative                 , Hours         , Before and after photos                                                                                                         ,                ,     13,              ,            0, 
623, 2026-02-03 23:47:26.555825+00, Get a Tattoo                                        , Get a tattoo (any size)                                                                                                                                                                                                                         , Creative                            , Hours         , Tattoo completed                                                                                                                ,                ,     11,              ,            0, 
626, 2026-02-03 23:47:26.555825+00, Get Pushed Around in a Wheelbarrow                  , Get pushed around in a wheelbarrow in public for at least 10 minutes                                                                                                                                                                            , Absurd                              , Hours         , Photo/video evidence of wheelbarrow ride                                                                                        ,                ,     11,              ,            0, 
627, 2026-02-03 23:47:26.555825+00, Do a Street Performance                             , Perform publicly on a street (music/magic/art/dance) until you make money                                                                                                                                                                       , Creative & Achievement & Growth/Self, Hours         , Performance completed with photo/video                                                                                          ,                ,     17,              ,            0, 
631, 2026-02-03 23:47:26.555825+00, Hitchhike Somewhere                                 , Travel somewhere by hitchhiking with a buddy                                                                                                                                                                                                    , Absurd & Social                     , Hours         , Reached destination via hitchhiking                                                                                             ,                ,     17,              ,            0, 
640, 2026-02-22 02:10:37.105532+00, Blindfolded Candy Chopstick Challenge               , Blindfolded and pick up and eat as many M&Ms as you can using only chopsticks in 60 seconds (competitive)                                                                                                                                       , Absurd                              , Hours         , Video documenting attempt with final count                                                                                      ,                ,      4,              ,            0, 
641, 2026-02-22 02:10:37.105532+00, Balance Spoons on Your Face                         , "Balance as many spoons as possible on your face simultaneously.
                                                                                          
                                                                                          You can have help from another person.
                                                                                          You cannot be lying down. Sitting and kneeling ok.
                                                                                          
                                                                                          Competitive challenge"                                                                                                                                                                                                                          , Absurd                              , Hours         , Photo showing all spoons balanced at once (no adhesive)                                                                         ,                ,      2,              ,            0, 
642, 2026-02-22 02:10:37.105532+00, Blow a Giant Bubblegum Bubble                       , Blow the largest bubblegum bubble you can (competitive)                                                                                                                                                                                         , Absurd                              , Hours         , Photo or video of largest bubble with something for scale                                                                       ,                ,      2,              ,            0, 
643, 2026-02-22 02:10:37.105532+00, Eat Beans with a Toothpick                          , Eat as many baked beans as possible in 60 seconds using only a toothpick (competitive)                                                                                                                                                          , Absurd                              , Hours         , Video of attempt with final count (one bean at a time speared)                                                                  ,                ,      2,              ,            0, 
646, 2026-02-22 02:10:37.105532+00, Solo Navigation                                     , Travel somewhere unfamiliar alone and navigate without GPS                                                                                                                                                                                      , Growth/Self                         , Hours         , Solo trip completed using maps - signs - or asking locals                                                                       ,                ,     12,              ,            0, 
647, 2026-02-22 02:10:37.105532+00, Festival Immersion                                  , Attend a cultural celebration or community event outside your usual circle                                                                                                                                                                      , Social & Growth/Self                , Hours         , Participated (not just observed) in at least one activity                                                                       ,                ,     10,              ,            0, 
649, 2026-02-22 02:10:37.105532+00, Cook Something New                                  , Prepare a dish from a cuisine you've never cooked before                                                                                                                                                                                        , Creative & Growth/Self              , Hours         , Eaten the finished dish                                                                                                         ,                ,      4,              ,            0, 
651, 2026-02-22 02:10:37.105532+00, Meet Someone New                                    , Attend an event where you know few/no people and start a genuine conversation                                                                                                                                                                   , Social                              , Hours         , Exchanged contact info or made plans to meet again                                                                              ,                ,     15,              ,            0, 
655, 2026-02-22 02:10:37.105532+00, Ask Out Someone Who Intimidates You                 , Ask someone on a date who you're genuinely interested in but nervous about                                                                                                                                                                      , Social                              , Hours         , The ask happened (outcome irrelevant)                                                                                           ,                ,     14,              ,            0, 
663, 2026-02-22 02:10:37.105532+00, Compliment 100 Strangers                            , Give 100 genuine compliments to people you don't know (in-person face-to-face)                                                                                                                                                                  , Social                              , Hours         , 100 compliments delivered to strangers                                                                                          ,                ,     22,              ,            0, 
669, 2026-02-22 02:10:37.105532+00, Walk Every Street in Your Neighborhood              , Physically walk down every street within 1/2 mile of your house.                                                                                                                                                                                , Growth/Self                         , Hours         , Define boundary before starting - track on map - every street walked                                                            ,                ,     13,              ,            0, 
671, 2026-02-22 02:10:37.105532+00, Most Clothespins on Your Face                       , Clip as many clothespins to your face as possible in 60 seconds                                                                                                                                                                                 , Absurd                              , Hours         , Video of attempt with final count                                                                                               ,                ,      2,              ,            0, 
672, 2026-02-22 02:10:37.105532+00, Ask a stranger for $100                             , Ask someone you dont know if you can have $100                                                                                                                                                                                                  , Social & Absurd                     , Hours         , The ask happened (outcome doesn't matter)                                                                                       ,                ,     16,              ,            0, 
675, 2026-02-22 02:10:37.105532+00, Cook a Full Meal Together Blindfolded               , Partner up and cook a complete meal where one person is blindfolded and the other can only give verbal instructions                                                                                                                             , Social & Creative & Absurd          , Hours         , Completed meal with photo and video of the process                                                                              ,                ,     11,              ,            0, 
677, 2026-02-22 02:10:37.105532+00, Complete a Tandem Bike Ride of 20+ Miles            , Ride a tandem bicycle with a partner for at least 20 miles in one outing                                                                                                                                                                        , Physical & Social                   , Hours         , GPS tracked ride of 20+ miles completed together                                                                                ,                ,      9,              ,            0, 
678, 2026-02-22 02:10:37.105532+00, Three-Legged 5K                                     , Complete a 5K race or route while three-legged-tied to a partner                                                                                                                                                                                , Social & Physical & Absurd          , Hours         , 5K distance completed while tied together with photo/video                                                                      ,                ,     14,              ,            0, 
682, 2026-02-22 02:10:37.105532+00, Canoe or Kayak 10+ Miles Together                   , Complete a 10+ mile paddle with a partner in a single outing                                                                                                                                                                                    , Physical & Social                   , Hours         , 10+ mile paddle completed together with GPS or photo evidence                                                                   ,                ,      7,              ,            0, 
684, 2026-02-22 02:10:37.105532+00, Best Sandcastle                                     , Build sandcastles at the same beach on the same day; group votes on the best                                                                                                                                                                    , Creative & Absurd                   , Hours         , Sandcastles built and winner voted on with photos                                                                               ,                ,      5,              ,            0, 
685, 2026-02-22 02:10:37.105532+00, Karaoke Night                                       , Perform karaoke at a bar or public venue in front of an audience of strangers                                                                                                                                                                   , Social & Creative                   , Hours         , Video or photo of you performing karaoke at a public venue                                                                      ,                ,     12,              ,            0, 
686, 2026-02-22 02:10:37.105532+00, Donate Clothes to a Shelter                         , Gather clothes you no longer wear and donate them directly to a homeless shelter or clothing bank                                                                                                                                               , Growth/Self                         , Hours         , Donation made with receipt or photo at the shelter                                                                              ,                ,      4,              ,            0, 
687, 2026-02-22 02:10:37.105532+00, Cook a Meal for a Stranger                          , Prepare a homemade meal and share it with someone you don't know personally                                                                                                                                                                     , Social & Growth/Self                , Hours         , Meal prepared and shared with a stranger - with photo                                                                           ,                ,     14,              ,            0, 
694, 2026-02-22 02:10:37.105532+00, Hold an Unfamiliar Animal                           , Physically interact with or hold an animal species you've never touched before (reptile - bird of prey - tarantula - etc.)                                                                                                                      , Absurd                              , Hours         , Photo or video of you with the new animal species                                                                               ,                ,     11,              ,            0, 
697, 2026-02-22 02:10:37.105532+00, Delete a Social Media Account                       , Permanently delete one of your social media accounts (Instagram - TikTok - Twitter - Facebook - etc.)                                                                                                                                           , Growth/Self                         , Hours         , Account permanently deleted (not just deactivated)                                                                              ,                ,     11,              ,            0, 
700, 2026-02-22 02:10:37.105532+00, Talk with an Unhoused Person                        , Have a genuine - extended conversation with an unhoused person. Learn their name - hear their story - and share yours.                                                                                                                          , Social & Growth/Self                , Hours         , Had a real conversation and can share what you learned about their story                                                        ,                ,     15,              ,            0, 
701, 2026-02-22 02:10:37.105532+00, Coffee Chat with a Stranger                         , Approach strangers and ask them to have coffee with you until someone says yes - then have a genuine conversation                                                                                                                               , Social                              , Hours         , Coffee purchased and real conversation had with a stranger who accepted                                                         ,                ,     15,              ,            0, 
705, 2026-02-22 02:10:37.105532+00, High Five 100 Strangers                             , Get 100 different strangers to high five you in a single day                                                                                                                                                                                    , Social & Absurd                     , Hours         , Video evidence of high-fiving 100+ strangers                                                                                    ,                ,     15,              ,            0, 
707, 2026-02-22 02:10:37.105532+00, Go Skydiving                                        , Complete a tandem or solo skydive from at least 10000 feet                                                                                                                                                                                      , Physical & Achievement              , Hours         , Jump completed with photo or video                                                                                              ,                ,     12,              ,            0, 
708, 2026-02-22 02:10:37.105532+00, Try a Sensory Deprivation Tank                      , Spend at least 60 minutes floating in a sensory deprivation tank                                                                                                                                                                                , Growth/Self                         , Hours         , 60+ minute float session completed                                                                                              ,                ,      7,              ,            0, 
709, 2026-02-22 02:10:37.105532+00, Pay for the Person Behind You                       , Pay the bill of the person behind you in line at the grocery store                                                                                                                                                                              , Social & Growth/Self                , Hours         , Payment made for a stranger's order                                                                                             ,                ,      5,              ,            0, 
712, 2026-02-22 02:10:37.105532+00, Drive a Very Large Vehicle                          , Get behind the wheel and drive a bus - semi truck - garbage truck - or other commercial-sized vehicle                                                                                                                                           , Absurd & Achievement                , Hours         , Photo or video of you driving the vehicle                                                                                       ,                ,      8,              ,            0, 
713, 2026-02-22 02:10:37.105532+00, Capture an Invasive Species                         , Legally capture or remove an invasive species in your area (spotted lanternfly - invasive plants - etc.)                                                                                                                                        , Achievement                         , Hours         , Photo of captured/removed invasive species with identification                                                                  ,                ,      9,              ,            0, 
721, 2026-02-22 02:10:37.105532+00, Try Surströmming                                    , Open and eat Swedish fermented herring (surströmming). Outdoors strongly recommended.                                                                                                                                                           , Absurd                              , Hours         , Video of opening the can and eating the surströmming                                                                            ,                ,     10,              ,            0, 
722, 2026-02-22 02:10:37.105532+00, Chug a Gallon of Milk                               , Attempt to drink an entire gallon of milk in one sitting. Barfing is allowed.                                                                                                                                                                   , Absurd                              , Hours         , Video of honest attempt at the full gallon                                                                                      ,                ,      7,              ,            0, 
726, 2026-02-22 02:10:37.105532+00, Go to a Drag Show in Drag                           , Attend a drag show while dressed in full drag yourself                                                                                                                                                                                          , Absurd & Social                     , Hours         , Photo of you in drag at a drag show                                                                                             ,                ,     21,              ,            0, 
727, 2026-02-22 02:10:37.105532+00, Have Conversation with Your 1st Grade Teacher       , Track down and have a real conversation with your first grade (or other early) teacher                                                                                                                                                          , Social & Growth/Self                , Hours         , Conversation happened and you can describe what you discussed                                                                   ,                ,     14,              ,            0, 
728, 2026-02-22 02:10:37.105532+00, Take a Random Stranger to Lunch                     , Invite a complete stranger off the street to have lunch with you - you pay.                                                                                                                                                                     , Social                              , Hours         , Lunch completed with a stranger who accepted your invitation                                                                    ,                ,     18,              ,            0, 
729, 2026-02-22 02:10:37.105532+00, Test Drive a Luxury Car                             , Go to a dealership and test drive a car worth $100000+ (Lamborghini or Porsche or similar)                                                                                                                                                      , Absurd                              , Hours         , Photo of you behind the wheel of the luxury car                                                                                 ,                ,      8,              ,            0, 
733, 2026-02-22 02:10:37.105532+00, See Inside a Datacenter                             , Get a tour of or access to a datacenter and see the servers in person                                                                                                                                                                           , Achievement                         , Hours         , Photo of you inside a datacenter                                                                                                ,                ,     10,              ,            0, 
739, 2026-02-22 02:10:37.105532+00, Tread Water for 2 Hours                             , Stay afloat treading water continuously for 2 hours without touching the bottom or sides                                                                                                                                                        , Physical                            , Hours         , Video or witness verification of 2-hour tread                                                                                   ,                ,     11,              ,            0, 
741, 2026-02-22 02:10:37.105532+00, Catch a Fish Bare-Handed                            , Catch a live fish using only your hands (no tools nets or traps) and release it                                                                                                                                                                 , Physical & Absurd                   , Hours         , Video of catching and releasing the fish                                                                                        ,                ,     14,              ,            0, 
